id,rotulo,direccion,municipio,provincia,lat,lon,horario,venta
7592,MOEVE,"AVENIDA JUAN PABLO II 72,",Cáceres,CÁCERES,39.453806,-6.383833,L-D: 06:00-23:00,P
7594,GALP,CARRETERA N-523 KM. 87,Badajoz,BADAJOZ,38.893389,-6.970194,L-D: 06:00-22:00,P
7595,DST BELVIS,CARRETERA NACIONAL V KM. 190,Belvís de Monroy,CÁCERES,39.851778,-5.629528,L-D: 24H,P
7597,GALP,"CARRETERA EX-108 KM. 95,600",Casas de Don Gómez,CÁCERES,40.023833,-6.596139,L-V: 06:00-22:00; S-D: 07:00-22:00,P
7598,E.S. COMARCA DE LA VERA,"CARRETERA COMARCAL 501 KM. 58,200",Losar de la Vera,CÁCERES,40.115639,-5.596333,L-D: 24H,P
7599,CEPSA,CARRETERA EX-102 KM. 12200,Campo Lugar,CÁCERES,39.216972,-5.787833,L-D: 07:00-22:00,P
7601,BATAN,"CTRA. C-511 km 74,600",Guijo de Galisteo,CÁCERES,39.972694,-6.373083,L-V: 07:00-22:00; S-D: 07:00-14:00 y 17:00-21:00,P
7603,GALP,"CARRETERA GUADALUPE EX-118 KM. 60,150",Peraleda de la Mata,CÁCERES,39.859306,-5.470500,L-S: 07:00-19:00; D: 07:00-22:00,P
7605,NOROIL,"CARRETERA N-630 KM. 643,915",Almendralejo,BADAJOZ,38.740472,-6.390583,L: 24H,P
7608,GALP,"AVENIDA ADOLFO DIAZ AMBRONA, 60",Badajoz,BADAJOZ,38.883861,-6.990333,L-D: 24H,P
7609,CEPSA,"AVENIDA VEGAS ALTAS, 1",Don Benito,BADAJOZ,38.961167,-5.851861,L-D: 06:30-23:00,P
7612,GALP,"CARRETERA CTRA. N-530 KM. 33,00",Alburquerque,BADAJOZ,39.218583,-7.007250,L-D: 07:00-23:00,P
7613,CEPSA,"CARRETERA EX-206 KM. 96,5",Don Benito,BADAJOZ,38.958417,-5.883722,L-S: 06:00-22:00; D: 06:30-22:00,P
7614,OCHO ÁREAS DE SERVICIO,CARRETERA N432 KM. 2100,Badajoz,BADAJOZ,38.858139,-6.947250,L-D: 24H,P
7615,GALP,AUTOVIA MADRID LISBOA KM. 0,Badajoz,BADAJOZ,38.890750,-7.014056,L-D: 24H,P
7616,MOEVE,SAN ISIDRO-EL MÉDANO km 9.6,Granadilla de Abona,SANTA CRUZ DE TENERIFE,28.056222,-16.546417,L-D: 06:00-22:00,P
7618,DISA TAXITEL,"CALLE CANOVAS DEL CASTILLO, 114",Telde,PALMAS (LAS),28.001056,-15.397806,L-D: 24H,P
7619,MOEVE INGENIO,"CALLE JULIANO BONNY GOMEZ, 36",Ingenio,PALMAS (LAS),27.917889,-15.429167,L-D: 06:00-23:00,P
7621,MOEVE,"AVENIDA OBISPO PEREZ CACERES, 45",Güímar,SANTA CRUZ DE TENERIFE,28.313028,-16.411944,L-S: 06:00-22:00; D: 06:00-14:00,P
7624,CEPSA PUERTO DE LA CRUZ,"CALLE CARRETERA DEL BOTANICO, 24",Puerto de la Cruz,SANTA CRUZ DE TENERIFE,28.412528,-16.543778,L: 06:00-00:00,P
7626,REPSOL,"ACCESO ACCESO AEROPUERTO TENERIFE SUR, 1",Granadilla de Abona,SANTA CRUZ DE TENERIFE,28.050000,-16.574639,L-D: 24H,P
7628,CEPSA,"CALLE FILIPINAS, 9",Santa Cruz de Tenerife,SANTA CRUZ DE TENERIFE,28.455028,-16.268139,L-V: 07:00-15:00,P
7634,CEPSA LOS ANDENES,"AVENIDA PASO EL (LOS MAJUELOS), 108",San Cristóbal de La Laguna,SANTA CRUZ DE TENERIFE,28.447444,-16.307250,L-D: 24H,P
7636,CEPSA AGUA GARCIA,"CALLE CAMINO REAL, 163",Tacoronte,SANTA CRUZ DE TENERIFE,28.469528,-16.396000,L-S: 06:00-22:00; D: 08:00-22:00,P
7637,MOEVE,"AUTOPISTA TF-21 KM. 3,5",Santa Cruz de Tenerife,SANTA CRUZ DE TENERIFE,28.436528,-16.282167,L-D: 24H,P
7639,CEPSA,"ACCESO CARRETERA A LA HIDALGA, 0",Arafo,SANTA CRUZ DE TENERIFE,28.328917,-16.386250,L-D: 24H,P
7640,MOEVE,CARRETERA CARRETERA  GENERAL KM. 136,Arona,SANTA CRUZ DE TENERIFE,28.091167,-16.659333,L-D: 06:00-22:00,P
7641,CEPSA,CARRETERA TEGUISE-MOZAGA KM. 0,Teguise,PALMAS (LAS),29.056778,-13.564889,L-D: 06:30-22:30,P
7643,MOEVE,"AVENIDA REPUBLICA DE NICARAGUA, 2",Palmas de Gran Canaria (Las),PALMAS (LAS),28.118417,-15.453889,L-D: 24H,P
7644,MOEVE MASPALOMAS,"CARRETERA C-812 KM. 56,8",San Bartolomé de Tirajana,PALMAS (LAS),27.753306,-15.601944,L-D: 24H,P
7645,CEPSA,"CALLE SANSOFE, 4",Firgas,PALMAS (LAS),28.118778,-15.558611,L-V: 06:00-22:00; S: 07:00-23:00; D: 08:00-14:00,P
7646,MOEVE,"AVENIDA PINTOR FELO MONZON, 48",Palmas de Gran Canaria (Las),PALMAS (LAS),28.093889,-15.457139,L-D: 06:00-22:00,P
7647,MOEVE,"CARRETERA CTRA. GRAL. DE TENOYA, 1 FINCA EL CANONIGO KM. 1",Palmas de Gran Canaria (Las),PALMAS (LAS),28.107806,-15.489361,L-D: 24H,P
7648,TGAS HARÍA,"CALLE CRUZ DE FERRER, 10",Haría,PALMAS (LAS),29.148889,-13.497667,L-V: 07:00-18:00; S-D: 07:30-18:00,P
7649,CEPSA OJOS DE GARZA,AUTOVIA GC-1 KM. 17,Telde,PALMAS (LAS),27.944722,-15.389417,L-D: 06:00-22:00,P
7650,"CEPSA OPER CANARIOS  S,L.","AUTOVIA GC-2 KM. 5,2",Arucas,PALMAS (LAS),28.136194,-15.487806,L-D: 24H,P
7651,MOEVE,"AUTOVIA GC-2 KM. 5,2",Arucas,PALMAS (LAS),28.136194,-15.488889,L-D: 24H,P
7652,MOEVE,"CALLE LOMO GUILLEN, 16",Santa María de Guía de Gran Canaria,PALMAS (LAS),28.141333,-15.633944,L-D: 06:00-22:00,P
7654,MOEVE,CARRETERA C-817 KM. 21,Teror,PALMAS (LAS),28.061917,-15.545528,L-V: 06:00-23:59; S: 06:00-01:30; D: 07:00-14:00,P
7655,MOEVE TINAJO,"AVENIDA LAS VEGAS, 9",Tinajo,PALMAS (LAS),29.065028,-13.670750,L-V: 06:00-22:00; S: 06:30-22:30; D: 08:00-15:30,P
7656,MOEVE,"CARRETERA GRAL DEL SUR KM. 34,5",Agüimes,PALMAS (LAS),27.864694,-15.432306,L-D: 06:00-22:00,P
7657,MOEVE,"CARRETERA CTRA. GRAL. DEL SUR KM. 34,5",Agüimes,PALMAS (LAS),27.864806,-15.432583,L-D: 06:00-22:00,P
7658,CEPSA LOS ALMENDROS,"AVENIDA LOS ALMENDROS, 42",Valsequillo de Gran Canaria,PALMAS (LAS),27.995556,-15.472639,L-D: 06:00-22:00,P
7659,CEPSA GRAN TARAJAL,"AVENIDA CONSTITUCION (DE LA), 16",Tuineje,PALMAS (LAS),28.215028,-14.020694,L-D: 24H,P
7660,CEPSA EL CUBILLO,"CALLE CUBILLO, 1",Telde,PALMAS (LAS),28.006500,-15.414750,L-J: 06:00-23:00; V-S: 06:00-00:00; D: 06:00-23:00,P
7661,MOEVE POZO IZQUIERDO,"CALLE CASA SANTA, 23",Santa Lucía de Tirajana,PALMAS (LAS),27.829500,-15.440000,L-D: 06:00-22:00,P
7663,MOEVE PLAZA DEL PINO,"PASEO CHIL, 2",Palmas de Gran Canaria (Las),PALMAS (LAS),28.107556,-15.421111,L-V: 06:30-22:30; S: 08:00-16:00,P
7664,CEPSA JUAN GRANDE,CARRETERA C-812 KM. 42,San Bartolomé de Tirajana,PALMAS (LAS),27.805000,-15.474333,L-D: 06:00-22:00,P
